ts_code,trade_date,adj_factor
600519.SH,20020812,1.118
600519.SH,20020813,1.118
600519.SH,20020814,1.118
600519.SH,20020815,1.118
600519.SH,20020816,1.118
600519.SH,20020819,1.118
600519.SH,20020820,1.118
600519.SH,20020821,1.118
600519.SH,20020822,1.118
600519.SH,20020823,1.118
600519.SH,20020826,1.118
600519.SH,20020827,1.118
600519.SH,20020828,1.118
600519.SH,20020829,1.118
600519.SH,20020830,1.118
600519.SH,20020902,1.118
600519.SH,20020903,1.118
600519.SH,20020904,1.118
600519.SH,20020905,1.118
600519.SH,20020906,1.118
600519.SH,20020909,1.118
600519.SH,20020910,1.118
600519.SH,20020911,1.118
600519.SH,20020912,1.118
600519.SH,20020913,1.118
600519.SH,20020916,1.118
600519.SH,20020917,1.118
600519.SH,20020918,1.118
600519.SH,20020919,1.118
600519.SH,20020920,1.118
600519.SH,20020923,1.118
600519.SH,20020924,1.118
600519.SH,20020925,1.118
600519.SH,20020926,1.118
600519.SH,20020927,1.118
600519.SH,20021008,1.118
600519.SH,20021009,1.118
600519.SH,20021010,1.118
600519.SH,20021011,1.118
600519.SH,20021014,1.118
600519.SH,20021015,1.118
600519.SH,20021016,1.118
600519.SH,20021017,1.118
600519.SH,20021018,1.118
600519.SH,20021021,1.118
600519.SH,20021022,1.118
600519.SH,20021023,1.118
600519.SH,20021024,1.118
600519.SH,20021025,1.118
600519.SH,20021028,1.118
600519.SH,20021029,1.118
600519.SH,20021030,1.118
600519.SH,20021031,1.118
600519.SH,20021101,1.118
600519.SH,20021104,1.118
600519.SH,20021105,1.118
600519.SH,20021106,1.118
600519.SH,20021107,1.118
600519.SH,20021108,1.118
600519.SH,20021111,1.118
600519.SH,20021112,1.118
600519.SH,20021113,1.118
600519.SH,20021114,1.118
600519.SH,20021115,1.118
600519.SH,20021118,1.118
600519.SH,20021119,1.118
600519.SH,20021120,1.118
600519.SH,20021121,1.118
600519.SH,20021122,1.118
600519.SH,20021125,1.118
600519.SH,20021126,1.118
600519.SH,20021127,1.118
600519.SH,20021128,1.118
600519.SH,20021129,1.118
600519.SH,20021202,1.118
600519.SH,20021203,1.118
600519.SH,20021204,1.118
600519.SH,20021205,1.118
600519.SH,20021206,1.118
600519.SH,20021209,1.118
600519.SH,20021210,1.118
600519.SH,20021211,1.118
600519.SH,20021212,1.118
600519.SH,20021213,1.118
600519.SH,20021216,1.118
600519.SH,20021217,1.118
600519.SH,20021218,1.118
600519.SH,20021219,1.118
600519.SH,20021220,1.118
600519.SH,20021223,1.118
600519.SH,20021224,1.118
600519.SH,20021225,1.118
600519.SH,20021226,1.118
600519.SH,20021227,1.118
600519.SH,20021230,1.118
600519.SH,20021231,1.118
600519.SH,20030102,1.118
600519.SH,20030103,1.118
600519.SH,20030106,1.118
600519.SH,20030107,1.118
600519.SH,20030108,1.118
600519.SH,20030109,1.118
600519.SH,20030110,1.118
600519.SH,20030113,1.118
600519.SH,20030114,1.118
600519.SH,20030115,1.118
600519.SH,20030116,1.118
600519.SH,20030117,1.118
600519.SH,20030120,1.118
600519.SH,20030121,1.118
600519.SH,20030122,1.118
600519.SH,20030123,1.118
600519.SH,20030124,1.118
600519.SH,20030127,1.118
600519.SH,20030128,1.118
600519.SH,20030129,1.118
600519.SH,20030210,1.118
600519.SH,20030211,1.118
600519.SH,20030212,1.118
600519.SH,20030213,1.118
600519.SH,20030214,1.118
600519.SH,20030217,1.118
600519.SH,20030218,1.118
600519.SH,20030219,1.118
600519.SH,20030220,1.118
600519.SH,20030221,1.118
600519.SH,20030224,1.118
600519.SH,20030225,1.118
600519.SH,20030226,1.118
600519.SH,20030227,1.118
600519.SH,20030228,1.118
600519.SH,20030303,1.118
600519.SH,20030304,1.118
600519.SH,20030305,1.118
600519.SH,20030306,1.118
600519.SH,20030307,1.118
600519.SH,20030310,1.118
600519.SH,20030311,1.118
600519.SH,20030312,1.118
600519.SH,20030313,1.118
600519.SH,20030314,1.118
600519.SH,20030317,1.118
600519.SH,20030318,1.118
600519.SH,20030319,1.118
600519.SH,20030320,1.118
600519.SH,20030321,1.118
600519.SH,20030324,1.118
600519.SH,20030325,1.118
600519.SH,20030326,1.118
600519.SH,20030327,1.118
600519.SH,20030328,1.118
600519.SH,20030331,1.118
600519.SH,20030401,1.118
600519.SH,20030402,1.118
600519.SH,20030403,1.118
600519.SH,20030404,1.118
600519.SH,20030407,1.118
600519.SH,20030408,1.118
600519.SH,20030409,1.118
600519.SH,20030410,1.118
600519.SH,20030411,1.118
600519.SH,20030414,1.118
600519.SH,20030415,1.118
600519.SH,20030416,1.118
600519.SH,20030417,1.118
600519.SH,20030418,1.118
600519.SH,20030421,1.118
600519.SH,20030422,1.118
600519.SH,20030423,1.118
600519.SH,20030424,1.118
600519.SH,20030425,1.118
600519.SH,20030428,1.118
600519.SH,20030429,1.118
600519.SH,20030430,1.118
600519.SH,20030512,1.118
600519.SH,20030513,1.118
600519.SH,20030514,1.118
600519.SH,20030515,1.118
600519.SH,20030516,1.118
600519.SH,20030519,1.118
600519.SH,20030520,1.118
600519.SH,20030521,1.118
600519.SH,20030522,1.118
600519.SH,20030523,1.118
600519.SH,20030526,1.118
600519.SH,20030527,1.118
600519.SH,20030528,1.118
600519.SH,20030529,1.118
600519.SH,20030530,1.118
600519.SH,20030602,1.118
600519.SH,20030603,1.118
600519.SH,20030604,1.118
600519.SH,20030605,1.118
600519.SH,20030606,1.118
600519.SH,20030609,1.118
600519.SH,20030610,1.118
600519.SH,20030611,1.118
600519.SH,20030612,1.118
600519.SH,20030613,1.118
600519.SH,20030616,1.118
600519.SH,20030617,1.118
600519.SH,20030618,1.118
600519.SH,20030619,1.118
600519.SH,20030620,1.118
600519.SH,20030623,1.118
600519.SH,20030624,1.118
600519.SH,20030625,1.118
600519.SH,20030626,1.118
600519.SH,20030627,1.118
600519.SH,20030630,1.118
600519.SH,20030701,1.118
600519.SH,20030702,1.118
